,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
970,MA0813.1.TFAP2B,0.46034538591246443,TF_increase,0.25002867082075003_KS,1.7829952652645915e-06,7.032925768543667e-06,True,True
971,MA0073.2.RREB1,0.5281651369646204,TF_increase,0.3978443777719802_KS,0.008695079453488222,0.015753764368680416,True,False
972,MA0050.1.IRF1,-0.1315095748792051,TF_decrease,0.29024707412223666_KS,0.8007182064304343,0.8216945641418008,False,False
973,MA0083.2.SRF,-0.8849844939485934,TF_decrease,0.46332899869960986_KS,0.2609552318159331,0.3184158360288937,False,False
974,MA0492.2.JUND,0.25529747246577744,TF_increase,0.24652325994018148_KS,0.03931341324405806,0.06101098011646168,False,False
975,MA0727.2.NR3C2,-0.23569599669461697,TF_decrease,0.15521843070474195_KS,0.38876307846507047,0.44609581528921216,False,False
976,MA0651.2.HOXC11,-1.394969966419352,TF_decrease,0.7021331945889698_KS,0.005390324245603801,0.01048528825857178,True,False
977,MA1506.1.HOXD10,-0.883361647932442,TF_decrease,0.5370611183355006_KS,0.13370268689092554,0.17806125710210013,False,False
978,MA0721.2.UNCX,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
979,MA1577.2.TLX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
980,MA0718.2.RAX,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
981,MA0716.2.PRRX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
982,MA0708.3.MSX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
983,MA0666.3.MSX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
984,MA0707.3.MNX1,-1.013936762943797,TF_decrease,0.87597503900156_KS,0.0038577091603602,0.0077154183207204,True,True
985,MA0700.3.LHX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
986,MA0699.2.LBX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
987,MA1504.2.HOXC4,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
988,MA1499.2.HOXB4,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
989,MA0894.2.HESX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
990,MA0027.3.EN1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
991,MA0882.2.DLX6,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
992,MA0879.3.DLX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
993,MA0609.3.CREM,-1.7909896849105982,TF_decrease,0.5513869264519967_KS,0.015969146764309005,0.02732070892207083,True,False
994,MA1984.1.ZNF667,0.25685322121503434,TF_increase,0.4244473342002601_KS,0.36337878398050655,0.4246896076150776,False,False
995,MA0815.1.TFAP2C,0.5116146165842911,TF_increase,0.2661046527606013_KS,1.401241945367392e-07,6.716501476528934e-07,True,True
996,MA0842.3.NRL,-0.47063652341424045,TF_decrease,0.24123430962343095_KS,0.09309806031328859,0.13105253595526126,False,False
997,MA1974.1.ZNF211,-0.5961533560922313,TF_decrease,0.44432882414151925_KS,0.20600754079557382,0.2606064213182315,False,False
998,MA0651.3.HOXC11,-1.394969966419352,TF_decrease,0.7021331945889698_KS,0.005390324245603801,0.01048528825857178,True,False
999,MA0905.1.HOXC10,-0.37245857927615234,TF_decrease,0.5370611183355006_KS,0.13370268689092554,0.17806125710210013,False,False
1000,MA0080.4.SPI1,-0.2147020922496245,TF_decrease,0.4364109232769831_KS,0.32949348968740105,0.389902875525409,False,False
1001,MA1951.1.FOS,-0.011257524830162199,TF_decrease,0.27419354838709675_KS,0.7632552534719477,0.7903901257467024,False,False
1002,MA1506.2.HOXD10,-1.3321219860393252,TF_decrease,0.5503121748178981_KS,0.059672827560903655,0.08826605743383666,False,False
1003,MA0847.4.FOXD2,-0.3061488836225407,TF_decrease,0.3859557867360208_KS,0.4835363118828688,0.535377436938537,False,False
1004,MA0113.3.NR3C1,-0.14661052086295498,TF_decrease,0.2454450806871421_KS,0.7107404865359636,0.7434633450320944,False,False
1005,MA0906.1.HOXC12,-0.5874516505100789,TF_decrease,0.47942708333333334_KS,0.020292265855193822,0.0338006070549856,True,False
1006,MA0491.1.JUND,0.29274754137112496,TF_increase,0.37302000446196176_KS,0.22171169512906228,0.2779961210448286,False,False
1007,MA1928.1.BNC2,0.15128828028067914,TF_increase,0.23484257090814467_KS,0.8287296426600779,0.8481413279836473,False,False
1008,MA1951.2.FOS,0.10462614573680246,TF_increase,0.2741222366710013_KS,0.8465004838525226,0.8647702784680447,False,False
1009,MA0872.1.TFAP2A,0.08944097704792575,TF_increase,0.10136688699430424_KS,2.1430699390660467e-06,8.394922244065618e-06,True,True
1010,MA1527.1.NFIC,0.4317154507535512,TF_increase,0.2433282946269067_KS,0.18012939826631708,0.23249519532617335,False,False
1011,MA0469.2.E2F3,-0.0111222792920841,TF_decrease,0.29835615140461413_KS,0.23191338638805464,0.28982795042555565,False,False
1012,MA1150.2.RORB,-0.2746494454009809,TF_decrease,0.524044710163764_KS,0.453455794063745,0.5075130857698663,False,False
1013,MA0727.1.NR3C2,-0.28743864300429506,TF_decrease,0.21238562091503269_KS,0.20105176003641143,0.25518972000152335,False,False
1014,MA0072.1.RORA,-0.768852754759543,TF_decrease,0.7598128411749415_KS,0.11566440833782968,0.15679566571810802,False,False
1015,MA0906.2.HOXC12,-0.6148668257177833,TF_decrease,0.47992700729927007_KS,0.0028798309378139627,0.0059493798764350524,True,True
1016,MA0723.3.VAX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1017,MA0628.2.POU6F1,-1.0361787594221945,TF_decrease,0.9054054054054054_KS,0.18965965185762512,0.24290120012430905,False,False
1018,MA0132.3.PDX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1019,MA0662.2.MIXL1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1020,MA1505.2.HOXC8,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1021,MA0904.3.HOXB5,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
1022,MA0903.2.HOXB3,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
1023,MA0902.3.HOXB2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1024,MA0892.2.GSX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1025,MA0888.2.EVX2,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
1026,MA0887.2.EVX1,-1.013936762943797,TF_decrease,0.87597503900156_KS,0.0038577091603602,0.0077154183207204,True,True
1027,MA0900.3.HOXA2,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
1028,MA0886.2.EMX2,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1029,MA0612.3.EMX1,-0.9721639954878945,TF_decrease,0.6863127764767109_KS,0.002501418525157758,0.005272006390684997,True,True
1030,MA1495.2.HOXA1,-1.0364882942385196,TF_decrease,0.6279251170046802_KS,0.10905128815036638,0.14818452552489977,False,False
1031,MA0905.2.HOXC10,-0.4358191145643614,TF_decrease,0.5372008324661811_KS,0.07094507172922404,0.10266700826038026,False,False
1032,MA1636.1.CEBPG,0.6321591006904103,TF_increase,0.46675838476983716_KS,0.06486768859944735,0.09447396698586177,False,False
1033,MA1536.2.NR2C2,0.2687115881785103,TF_increase,0.24832031437197488_KS,0.001980013594592961,0.004419048022510027,True,True
1034,MA1124.1.ZNF24,-0.2901763357380645,TF_decrease,0.3088923556942278_KS,0.8624987724204366,0.8748201834550142,False,False
1035,MA0837.2.CEBPE,-0.29425255707384557,TF_decrease,0.3416666666666667_KS,0.1942466986483927,0.24816262183268936,False,False
1036,MA1984.2.ZNF667,0.3636606115162974,TF_increase,0.4246682279469165_KS,0.17063691203186218,0.22204299205978859,False,False
1037,MA0836.2.CEBPD,0.320871702887872,TF_increase,0.2972388642875749_KS,0.2815668788534419,0.3402765684867127,False,False
1038,MA0846.1.FOXC2,-0.6194308035407792,TF_decrease,0.6898075923036922_KS,0.059900196438045936,0.08848715624658021,False,False
1039,MA1588.1.ZNF136,-0.844888903468645,TF_decrease,0.8497530543280478_KS,0.04534752391338528,0.06896223181473317,False,False
1040,MA0842.2.NRL,-0.6260836363629988,TF_decrease,0.3399589094703887_KS,0.03803117692905131,0.05918276300192094,False,False
1041,MA0495.3.MAFF,-0.5456037871916084,TF_decrease,0.6608582574772431_KS,0.030368269201636284,0.04872648843652376,True,False
1042,MA0756.1.ONECUT2,-0.24167771014732978,TF_decrease,0.4108164326573063_KS,0.5653751144308625,0.6120527077774749,False,False
1043,MA0137.4.STAT1,-1.339683113350479,TF_decrease,0.7953718148725949_KS,0.017240710003500897,0.029058526059313083,True,False
1044,MA1555.1.RXRB,0.4945237707254964,TF_increase,0.4850455136540962_KS,0.21455954235513963,0.27022133050492086,False,False
1045,MA0137.3.STAT1,-1.339683113350479,TF_decrease,0.7953718148725949_KS,0.017240710003500897,0.029058526059313083,True,False
1046,MA0772.1.IRF7,0.5317984790739092,TF_increase,0.3064624079720384_KS,0.4412627527225432,0.497296118147628,False,False
1047,MA1419.2.IRF4,0.46486938089955504,TF_increase,0.6435257410296412_KS,0.09298690505990144,0.13105253595526126,False,False
1048,MA0002.1.RUNX1,0.16815862089609587,TF_increase,0.25826607654256706_KS,0.5753613338022852,0.6193857629061326,False,False
1049,MA1419.1.IRF4,0.38498725198549183,TF_increase,0.39343302990897266_KS,0.45915543381919216,0.5108722554540669,False,False
1050,MA0659.2.MAFG,-0.5135138802132703,TF_decrease,0.6461098100442363_KS,0.0057766244789443505,0.011141333460239019,True,False
