,ID,1gDNA_count,1cDNA_count,3gDNA_count,3cDNA_count,1gDNA_count_pseudocounts,1cDNA_count_pseudocounts,3gDNA_count_pseudocounts,3cDNA_count_pseudocounts,1gDNA_count_pseudocounts_rel_freq,1cDNA_count_pseudocounts_rel_freq,3gDNA_count_pseudocounts_rel_freq,3cDNA_count_pseudocounts_rel_freq,gDNA_count_pseudocounts_rel_freq_average_replicates,cDNA_count_pseudocounts_rel_freq_average_replicates,score_1,score_1_log2,score_3,score_3_log2,score_1_log2_norm,score_3_log2_norm,score_log2_norm_average,filtered_score
14,1MYB_2MYB_3EGR,8,247,20,376,9,248,21,377,1.0385929604169143e-05,3.832446075706572e-05,1.08254621054699e-05,0.0004366893158225165,1.060569585481952e-05,0.0002375068882897911,3.6900366378067337,1.8836351406541476,40.339092370187664,5.334106718556624,1.8747981208901434,5.350704423483274,3.6127512721867086,3.6127512721867086
15,1MYB_2MYB_3MYB,3,527,6,346,4,528,7,347,4.615968712964064e-06,8.159401322472057e-05,3.6084873684899664e-06,0.00040193950289234276,4.1122280407270154e-06,0.00024176675805853167,17.676465829493544,4.1437579510680385,111.38725505932456,6.799440358587377,4.134920931304034,6.816038063514027,5.47547949740903,5.47547949740903
16,1MYB_3EGR,316,6569,688,1648,317,6570,689,1649,0.00036581552050240205,0.00101528914183033,0.00035517825669851243,0.0019100813840618824,0.00036049688860045724,0.0014626852629461063,2.7754129743756,1.4727024567798694,5.377810572687239,2.427018938799896,1.4638654370158652,2.443616643726545,1.953741040371205,1.953741040371205
17,1MYB_3MYB,98,3297,264,351,99,3298,265,352,0.00011424522564586057,0.0005096535144225918,0.00013660702180712017,0.00040773113838070505,0.00012542612372649036,0.0004586923264016484,4.461048691893918,2.1573828950674425,2.9847011741196856,1.5775864972534563,2.1485458753034385,1.5941842021801056,1.871365038741772,1.871365038741772
18,2EGR,6095,43858,16765,6735,6096,43859,16766,6736,0.0070347363185572324,0.006777711791710265,0.00864284274572897,0.007802491329921674,0.007838789532143101,0.007290101560815969,0.963463516582853,-0.05369805778155312,0.9027690957095602,-0.147571062965603,-0.06253507754555722,-0.13097335803895382,-0.09675421779225551,-0.09675421779225551
19,2EGR_3EGR,242,73,640,56,243,74,641,57,0.0002804200993125669,1.1435524580737354e-05,0.00033043434331458125,6.602464456733008e-05,0.00030542722131357406,3.873008457403372e-05,0.040779974790576205,-4.615995306267246,0.1998116899866945,-2.323287104387279,-4.6248323260312505,-2.30668939946063,-3.46576086274594,-3.46576086274594
20,2EGR_3MYB,117,2137,336,26,118,2138,337,27,0.00013617107703243987,0.000330393939913736,0.00017372289188301697,3.1274831637156356e-05,0.00015494698445772843,0.00018083438577544617,2.4263150965239606,1.2787669200682343,0.18002711846528824,-2.473713850951669,1.2699299003042301,-2.45711614602502,-0.593593122860395,-0.593593122860395
21,2MYB,4535,210747,12045,35643,4536,210748,12046,35644,0.005234508520501248,0.03256775586947616,0.006209691262975734,0.04128741106943708,0.005722099891738491,0.03692758346945662,6.221740922174968,2.63731832125042,6.648866959877135,2.7331085104426895,2.628481301486416,2.7497062153693386,2.6890937584278776,2.6890937584278776
22,2MYB_3EGR,254,9692,632,978,255,9693,633,979,0.00029426800545145904,0.0014978991859606373,0.00032631035775059267,0.001134002228621336,0.0003102891816010258,0.0013159507072909866,5.090254999562714,2.347737930837247,3.4752259672004735,1.7971067882420744,2.338900911073243,1.8137044931687236,2.0763027021209832,2.0763027021209832
23,2MYB_3MYB,83,10408,320,1303,84,10409,321,1304,9.693534297224534e-05,0.001608545612985069,0.0001654749207550399,0.0015104585353648847,0.00013120513186364263,0.0015595020741749769,16.594005485136933,4.052590263040847,9.128020901734624,3.190302095175495,4.043753243276843,3.206899800102144,3.6253265216894937,3.6253265216894937
24,3EGR,9700,48831,21871,9748,9701,48832,21872,9749,0.011194878121116095,0.007546209950359006,0.01127497653194465,0.011292530875208788,0.011234927326530373,0.009419370412783897,0.6740770081386712,-0.5690146771992087,1.0015569294724829,0.0022444276741947957,-0.5778516969632128,0.01884213260084397,-0.2795047821811844,-0.2795047821811844
25,3MYB,2665,24550,6556,5339,2666,24551,6557,5340,0.0030765431471905485,0.003793967080833551,0.0033801216678841016,0.0061854667015709235,0.003228332407537325,0.004989716891202237,1.2331915722677715,0.30239693509532034,1.8299538624131597,0.8718072751176091,0.29355991533131626,0.8884049800442583,0.5909824476877873,0.5909824476877873
26,WT,534718,4017577,1163330,511802,534719,4017578,1163331,511803,0.6170615435568577,0.6208528645139137,0.5996950312675431,0.5928352835700568,0.6083782874122003,0.6068440740419853,1.00614415368555,0.008837019764004103,0.9885612730807737,-0.016597704926649172,0.0,0.0,0.0,0.0
